Algorithm,Array Size,Time Taken
Insertion Sort,10,0.0
Insertion Sort,1010,0.0792481899261474
Insertion Sort,2010,0.3420014381408691
Insertion Sort,3010,0.44496750831604
Insertion Sort,4010,0.5570440292358398
Insertion Sort,5010,0.9406967163085938
Insertion Sort,6010,1.2620246410369873
Insertion Sort,7010,1.8199968338012693
Insertion Sort,8010,2.794029235839844
Insertion Sort,9010,4.55284595489502
Insertion Sort,10010,3.895552158355713
Insertion Sort,10,0.0
Insertion Sort,1010,0.0414874553680419
Insertion Sort,2010,0.1807820796966552
Insertion Sort,3010,0.3377468585968017
Insertion Sort,4010,0.5650434494018555
Insertion Sort,5010,0.8529903888702393
Insertion Sort,6010,1.3570349216461182
Insertion Sort,7010,1.7609901428222656
Insertion Sort,8010,2.291997194290161
Insertion Sort,9010,2.914876937866211
Insertion Sort,10010,3.531045436859131
Selection Sort,10,0.0
Selection Sort,1010,0.0349957942962646
Selection Sort,2010,0.1410388946533203
Selection Sort,3010,0.3259930610656738
Selection Sort,4010,0.4919941425323486
Selection Sort,5010,0.7450454235076904
Selection Sort,6010,1.0139954090118408
Selection Sort,7010,1.391000747680664
Selection Sort,8010,1.894003868103028
Selection Sort,9010,2.495038747787476
Selection Sort,10010,3.2089946269989014
Selection Sort,10,0.0
Selection Sort,1010,0.0619988441467285
Selection Sort,2010,0.1500015258789062
Selection Sort,3010,0.2769949436187744
Selection Sort,4010,0.4729969501495361
Selection Sort,5010,0.718998908996582
Selection Sort,6010,1.0089993476867676
Selection Sort,7010,2.8470404148101807
Selection Sort,8010,2.0790319442749023
Selection Sort,9010,4.349010229110718
Selection Sort,10010,3.967997789382935
Insertion Sort,10,0.0
Insertion Sort,1010,0.0309631824493408
Insertion Sort,2010,0.1439666748046875
Insertion Sort,3010,0.2590434551239013
Insertion Sort,4010,0.4959559440612793
Insertion Sort,5010,0.717050313949585
Insertion Sort,6010,1.0849957466125488
Insertion Sort,7010,1.5540428161621094
Insertion Sort,8010,1.7770016193389893
Insertion Sort,9010,2.232000827789306
Insertion Sort,10010,2.7139551639556885
Bubble Sort,10,0.0
Bubble Sort,1010,0.0730419158935546
Bubble Sort,2010,0.2599561214447021
Bubble Sort,3010,0.5110023021697998
Bubble Sort,4010,0.9200458526611328
Bubble Sort,5010,1.4049975872039795
Bubble Sort,6010,2.0480451583862305
Bubble Sort,7010,2.836991548538208
Bubble Sort,8010,3.822995662689209
Bubble Sort,9010,4.677037954330444
Bubble Sort,10010,6.120042562484741
Selection Sort,10,0.0
Selection Sort,1010,0.042001724243164
Selection Sort,2010,0.1319921016693115
Selection Sort,3010,0.2909932136535644
Selection Sort,4010,0.4789967536926269
Selection Sort,5010,0.6949939727783203
Selection Sort,6010,1.0199999809265137
Selection Sort,7010,1.3549988269805908
Selection Sort,8010,1.807996273040772
Selection Sort,9010,2.43399977684021
Selection Sort,10010,2.8279709815979004
Bubble Sort,10,0.0
Bubble Sort,1010,0.0809977054595947
Bubble Sort,2010,0.2950038909912109
Bubble Sort,3010,0.6219987869262695
Bubble Sort,4010,1.0909545421600342
Bubble Sort,5010,3.679001808166504
Bubble Sort,6010,3.015991449356079
Bubble Sort,7010,4.08385968208313
Bubble Sort,8010,4.209998369216919
Bubble Sort,9010,6.641003370285034
Bubble Sort,10010,9.399999618530272
Quick Sort,10,0.0
Quick Sort,1010,0.0020012855529785
Quick Sort,2010,0.0080134868621826
Quick Sort,3010,0.0120143890380859
Quick Sort,4010,0.0430006980895996
Quick Sort,5010,0.047999620437622
Quick Sort,6010,0.0260009765625
Quick Sort,7010,0.0259974002838134
Quick Sort,8010,0.038994550704956
Quick Sort,9010,0.0419998168945312
Quick Sort,10010,0.056992769241333
Quick Sort,10,0.0
Quick Sort,1010,0.0020012855529785
Quick Sort,2010,0.0040032863616943
Quick Sort,3010,0.0099909305572509
Quick Sort,4010,0.0239558219909667
Quick Sort,5010,0.0279924869537353
Quick Sort,6010,0.0229933261871337
Quick Sort,7010,0.0240945816040039
Quick Sort,8010,0.0389957427978515
Quick Sort,9010,0.022996187210083
Quick Sort,10010,0.0509757995605468
Merge Sort,10,0.0
Merge Sort,1010,0.0029988288879394
Merge Sort,2010,0.0150175094604492
Merge Sort,3010,0.0250039100646972
Merge Sort,4010,0.0160026550292968
Merge Sort,5010,0.0200059413909912
Merge Sort,6010,0.0369672775268554
Merge Sort,7010,0.0609939098358154
Merge Sort,8010,0.0590302944183349
Merge Sort,9010,0.0719983577728271
Merge Sort,10010,0.0570018291473388
Heap Sort,10,0.0
Heap Sort,1010,0.0029540061950683
Heap Sort,2010,0.0070009231567382
Heap Sort,3010,0.0199975967407226
Heap Sort,4010,0.0239949226379394
Heap Sort,5010,0.0239183902740478
Heap Sort,6010,0.036940574645996
Heap Sort,7010,0.0611522197723388
Heap Sort,8010,0.0639970302581787
Heap Sort,9010,0.059995412826538
Heap Sort,10010,0.0870027542114257
Heap Sort,10,0.0
Heap Sort,1010,0.0029942989349365
Heap Sort,2010,0.0070044994354248
Heap Sort,3010,0.0189948081970214
Heap Sort,4010,0.0239753723144531
Heap Sort,5010,0.0279681682586669
Heap Sort,6010,0.0330440998077392
Heap Sort,7010,0.0459663867950439
Heap Sort,8010,0.0600368976593017
Heap Sort,9010,0.062993049621582
Heap Sort,10010,0.0709562301635742
Counting Sort,10,0.0920042991638183
Counting Sort,1010,0.1339948177337646
Counting Sort,2010,0.1770052909851074
Counting Sort,3010,0.1870357990264892
Counting Sort,4010,0.2129981517791748
Counting Sort,5010,0.1819605827331543
Counting Sort,6010,0.1890065670013427
Counting Sort,7010,0.1899676322937011
Counting Sort,8010,0.1850488185882568
Counting Sort,9010,0.192955732345581
Counting Sort,10010,0.2089607715606689
Counting Sort,10,0.1180009841918945
Counting Sort,1010,0.1850330829620361
Counting Sort,2010,0.1789608001708984
Counting Sort,3010,0.1840417385101318
Counting Sort,4010,0.2129654884338379
Counting Sort,5010,0.194002628326416
Counting Sort,6010,0.1899995803833007
Counting Sort,7010,0.1840279102325439
Counting Sort,8010,0.1760416030883789
Counting Sort,9010,0.196967601776123
Counting Sort,10010,0.1819984912872314
Radix Sort,10,0.0
Radix Sort,1010,0.0030007362365722
Radix Sort,2010,0.0260031223297119
Radix Sort,3010,0.0370151996612548
Radix Sort,4010,0.0350019931793212
Radix Sort,5010,0.0459918975830078
Radix Sort,6010,0.0539608001708984
Radix Sort,7010,0.0459957122802734
Radix Sort,8010,0.0800051689147949
Radix Sort,9010,0.0840017795562744
Radix Sort,10010,0.0990350246429443
Radix Sort,10,0.0010004043579101
Radix Sort,1010,0.0029962062835693
Radix Sort,2010,0.0079631805419921
Radix Sort,3010,0.0239961147308349
Radix Sort,4010,0.0271413326263427
Radix Sort,5010,0.0320968627929687
Radix Sort,6010,0.0389626026153564
Radix Sort,7010,0.068000316619873
Radix Sort,8010,0.0729484558105468
Radix Sort,9010,0.0830104351043701
Radix Sort,10010,0.0780050754547119
Bucket Sort,10,0.0
Bucket Sort,1010,0.0029997825622558
Bucket Sort,2010,0.0019993782043457
Bucket Sort,3010,0.018010139465332
Bucket Sort,4010,0.0109913349151611
Bucket Sort,5010,0.0270013809204101
Bucket Sort,6010,0.0240805149078369
Bucket Sort,7010,0.0259945392608642
Bucket Sort,8010,0.0169973373413085
Bucket Sort,9010,0.030998945236206
Bucket Sort,10010,0.0779590606689453
Bucket Sort,10,0.0
Bucket Sort,1010,0.0010418891906738281
Bucket Sort,2010,0.001962900161743164
Bucket Sort,3010,0.002997159957885742
Bucket Sort,4010,0.015995264053344727
Bucket Sort,5010,0.015000581741333008
Bucket Sort,6010,0.01703786849975586
Bucket Sort,7010,0.02400040626525879
Bucket Sort,8010,0.022023677825927734
Bucket Sort,9010,0.026999711990356445
Bucket Sort,10010,0.031995534896850586
